class,filepath,label
leaf_rust,ICLR/test/test/008FWT.JPG,1
stem_rust,ICLR/test/test/00AQXY.JPG,2
leaf_rust,ICLR/test/test/01OJZX.JPG,1
healthy_wheat,ICLR/test/test/07OXKK.jfif,0
healthy_wheat,ICLR/test/test/085IEC.jpg,0
stem_rust,ICLR/test/test/08O2YE.JPG,2
leaf_rust,ICLR/test/test/08WLJO.jfif,1
healthy_wheat,ICLR/test/test/0E1VTP.jfif,0
stem_rust,ICLR/test/test/0GJFRQ.JPG,2
stem_rust,ICLR/test/test/0J3PQ7.JPG,2
stem_rust,ICLR/test/test/0JIX2C.jpg,2
stem_rust,ICLR/test/test/0K9T9T.jpg,2
stem_rust,ICLR/test/test/0KAN82.JPG,2
healthy_wheat,ICLR/test/test/0KUZ3P.jfif,0
leaf_rust,ICLR/test/test/0L5TC8.jpg,1
stem_rust,ICLR/test/test/0M9DP3.JPG,2
stem_rust,ICLR/test/test/0OATVC.jpg,2
stem_rust,ICLR/test/test/0SB9C6.JPG,2
healthy_wheat,ICLR/test/test/109IJP.jpg,0
leaf_rust,ICLR/test/test/1BBY5N.jfif,1
stem_rust,ICLR/test/test/1DIKQJ.JPG,2
leaf_rust,ICLR/test/test/1DVSQ2.jfif,1
leaf_rust,ICLR/test/test/1HM2XF.JPG,1
stem_rust,ICLR/test/test/1JPXPR.jfif,2
leaf_rust,ICLR/test/test/1NCGYL.jpg,1
leaf_rust,ICLR/test/test/1UJG28.JPG,1
leaf_rust,ICLR/test/test/1UUIVR.JPG,1
leaf_rust,ICLR/test/test/1WP5MJ.jpg,1
stem_rust,ICLR/test/test/1WSHC2.jpg,2
stem_rust,ICLR/test/test/26MSDN.jpg,2
leaf_rust,ICLR/test/test/27CXW6.jfif,1
stem_rust,ICLR/test/test/28ZT9U.jpg,2
stem_rust,ICLR/test/test/29QHAM.jfif,2
leaf_rust,ICLR/test/test/2A1J3E.jpg,1
leaf_rust,ICLR/test/test/2A95RQ.jfif,1
stem_rust,ICLR/test/test/2B7M5Y.jpg,2
leaf_rust,ICLR/test/test/2DAFN2.JPG,1
stem_rust,ICLR/test/test/2EJ10A.JPG,2
leaf_rust,ICLR/test/test/2G71YU.jfif,1
stem_rust,ICLR/test/test/2JFP1V.JPG,2
leaf_rust,ICLR/test/test/2NB0GZ.jfif,1
stem_rust,ICLR/test/test/2RD61E.JPG,2
stem_rust,ICLR/test/test/2TLYBN.JPG,2
stem_rust,ICLR/test/test/2UP3BD.jpg,2
leaf_rust,ICLR/test/test/2WZMHJ.jfif,1
stem_rust,ICLR/test/test/2X9AJD.JPG,2
healthy_wheat,ICLR/test/test/31GWYB.jpg,0
stem_rust,ICLR/test/test/3617JB.JPG,2
leaf_rust,ICLR/test/test/36J4N7.jfif,1
stem_rust,ICLR/test/test/3EU616.JPG,2
stem_rust,ICLR/test/test/3FJAUN.JPG,2
leaf_rust,ICLR/test/test/3HQ3PI.jpg,1
leaf_rust,ICLR/test/test/3HTS4K.jfif,1
stem_rust,ICLR/test/test/3LEBBE.JPG,2
stem_rust,ICLR/test/test/3PMT29.jfif,2
leaf_rust,ICLR/test/test/3QYBX8.jpg,1
leaf_rust,ICLR/test/test/3QZDCW.jfif,1
leaf_rust,ICLR/test/test/3RITFB.jfif,1
stem_rust,ICLR/test/test/3SL5BH.JPG,2
stem_rust,ICLR/test/test/3TC5J1.jpg,2
healthy_wheat,ICLR/test/test/3UY9NX.jfif,0
stem_rust,ICLR/test/test/3UZ447.JPG,2
stem_rust,ICLR/test/test/3XZTJC.jpg,2
healthy_wheat,ICLR/test/test/3Y7B9H.jpg,0
stem_rust,ICLR/test/test/43AW2T.jfif,2
leaf_rust,ICLR/test/test/44C3D0.jpg,1
stem_rust,ICLR/test/test/44P9JJ.jpg,2
stem_rust,ICLR/test/test/45HKLN.jpg,2
healthy_wheat,ICLR/test/test/45W9CB.jfif,0
stem_rust,ICLR/test/test/476JFR.jpg,2
stem_rust,ICLR/test/test/4BNHPI.JPG,2
leaf_rust,ICLR/test/test/4BXHHC.jpg,1
leaf_rust,ICLR/test/test/4C6BNB.jpg,1
healthy_wheat,ICLR/test/test/4CCP3Y.jpg,0
healthy_wheat,ICLR/test/test/4DPZTB.jpg,0
leaf_rust,ICLR/test/test/4EMA2X.jfif,1
leaf_rust,ICLR/test/test/4GSOVC.jpg,1
stem_rust,ICLR/test/test/4H1YI5.jpg,2
stem_rust,ICLR/test/test/4J0AQ2.JPG,2
healthy_wheat,ICLR/test/test/4JIVV3.jfif,0
leaf_rust,ICLR/test/test/4LN6L6.jpg,1
leaf_rust,ICLR/test/test/4U2CGA.JPG,1
stem_rust,ICLR/test/test/4UUK28.jfif,2
stem_rust,ICLR/test/test/4Z2Z6Y.jpg,2
healthy_wheat,ICLR/test/test/50GZHW.jpg,0
stem_rust,ICLR/test/test/513FKC.jpg,2
healthy_wheat,ICLR/test/test/54ZZDF.jpg,0
stem_rust,ICLR/test/test/566UF3.JPG,2
leaf_rust,ICLR/test/test/56HDSQ.jfif,1
stem_rust,ICLR/test/test/56SNDY.JPG,2
leaf_rust,ICLR/test/test/58RYVJ.jfif,1
stem_rust,ICLR/test/test/5I8R0P.jpg,2
healthy_wheat,ICLR/test/test/5IQ4SM.jpg,0
stem_rust,ICLR/test/test/5KLFGH.jfif,2
leaf_rust,ICLR/test/test/5LY2EZ.jpg,1
stem_rust,ICLR/test/test/5O37UP.JPG,2
leaf_rust,ICLR/test/test/5QVR77.jpg,1
healthy_wheat,ICLR/test/test/5RZ9WS.jpg,0
leaf_rust,ICLR/test/test/5ZV470.jfif,1
leaf_rust,ICLR/test/test/5ZYD0Z.jfif,1
healthy_wheat,ICLR/test/test/61EW8T.jpg,0
leaf_rust,ICLR/test/test/62SE3K.JPG,1
leaf_rust,ICLR/test/test/630YN8.jpg,1
leaf_rust,ICLR/test/test/64NM6J.JPG,1
stem_rust,ICLR/test/test/65ZIX2.jfif,2
stem_rust,ICLR/test/test/66BJ7B.jpg,2
leaf_rust,ICLR/test/test/69KEFW.jpg,1
leaf_rust,ICLR/test/test/6MVSPH.JPG,1
leaf_rust,ICLR/test/test/6OR8LX.jfif,1
stem_rust,ICLR/test/test/6RQGO4.jfif,2
stem_rust,ICLR/test/test/6TBILJ.JPG,2
healthy_wheat,ICLR/test/test/6VCZTR.jpg,0
healthy_wheat,ICLR/test/test/70N4MI.jpg,0
stem_rust,ICLR/test/test/73LCCX.jfif,2
stem_rust,ICLR/test/test/770SDM.jpg,2
healthy_wheat,ICLR/test/test/7A27J0.jpg,0
healthy_wheat,ICLR/test/test/7AJUBC.jpg,0
stem_rust,ICLR/test/test/7C09OS.JPG,2
stem_rust,ICLR/test/test/7FIYNT.JPG,2
leaf_rust,ICLR/test/test/7FRVBT.JPG,1
stem_rust,ICLR/test/test/7HWYNO.JPG,2
healthy_wheat,ICLR/test/test/7HYV1S.jpg,0
leaf_rust,ICLR/test/test/7K49J7.jfif,1
stem_rust,ICLR/test/test/7L8I9W.jpg,2
healthy_wheat,ICLR/test/test/7OIDOG.jfif,0
healthy_wheat,ICLR/test/test/7QXINN.jfif,0
healthy_wheat,ICLR/test/test/7R79YI.jfif,0
stem_rust,ICLR/test/test/7TQ2FE.jpg,2
